,Bug_No,Topics,Text
73,73,"0 0.47378739012205145, 3 0.10990956807689875, 5 0.10813887307911212, 6 0.09707202934294568, 4 0.08866122810345918, 2 0.06785556187946626, 1 0.054575349396066515","in lang-538 issue, there is an unit test:{noformat} public void testformat_calendarisomszulu() { final string datetime = ""2009-10-16t16:42:16.000z""; gregoriancalendar cal = new gregoriancalendar(timezone.gettimezone(""gmt-8"")); cal.clear(); cal.set(2009, 9, 16, 8, 42, 16); cal.gettime(); fastdateformat format = fastdateformat.getinstance(""yyyy-mm-ddthh:mm:ss.sssz"", timezone.gettimezone(""gmt"")); assertequals(""datetime"", datetime, format.format(cal)); }{noformat}this test passes successfully in lang-2.6 but failed in lang3-3.1:{noformat}org.junit.comparisonfailure: datetime expected:<2009-10-16t[16]:42:16.000z> but was:<2009-10-16t[08]:42:16.000z>{noformat}reproduced whit sun java version: 1.6.0_45 and 1.7.0_21 on fedora 17 (linux 3.9.10-100.fc17.i686.pae).moreover, i wrote another unit test showing that the timezone parameter seems to be ignored :{noformat}public void test() { calendar cal = calendar.getinstance(timezone.gettimezone(""europe/paris"")); cal.set(2009, 9, 16, 8, 42, 16); // system.out.println(dateformatutils.iso_datetime_time_zone_format.format(cal)); system.out.println(""long""); system.out.println(dateformatutils.format(cal.gettimeinmillis(), dateformatutils.iso_datetime_time_zone_format.getpattern(), timezone.getdefault())); system.out.println(dateformatutils.format(cal.gettimeinmillis(), dateformatutils.iso_datetime_time_zone_format.getpattern(), timezone.gettimezone(""asia/kolkata""))); system.out.println(dateformatutils.format(cal.gettimeinmillis(), dateformatutils.iso_datetime_time_zone_format.getpattern(), timezone.gettimezone(""europe/london""))); system.out.println(""calendar""); system.out.println(dateformatutils.format(cal, dateformatutils.iso_datetime_time_zone_format.getpattern(), timezone.getdefault())); system.out.println(dateformatutils.format(cal, dateformatutils.iso_datetime_time_zone_format.getpattern(), timezone.gettimezone(""asia/kolkata""))); system.out.println(dateformatutils.format(cal, dateformatutils.iso_datetime_time_zone_format.getpattern(), timezone.gettimezone(""europe/london""))); system.out.println(""calendar fast""); system.out.println(fastdateformat.getinstance(""yyyy-mm-ddthh:mm:ss.sssz"", timezone.gettimezone(""europe/paris"")).format(cal)); system.out.println(fastdateformat.getinstance(""yyyy-mm-ddthh:mm:ss.sssz"", timezone.gettimezone(""asia/kolkata"")).format(cal)); system.out.println(fastdateformat.getinstance(""yyyy-mm-ddthh:mm:ss.sssz"", timezone.gettimezone(""europe/london"")).format(cal));}{noformat}gives the following console logs:{noformat}long2009-10-16t08:42:16+02:002009-10-16t12:12:16+05:302009-10-16t07:42:16+01:00calendar2009-10-16t08:42:16+02:002009-10-16t08:42:16+02:002009-10-16t08:42:16+02:00calendar fast2009-10-16t08:42:16.975z2009-10-16t08:42:16.975z2009-10-16t08:42:16.975z{noformat}when dateformatutils.format takes a long parameter, the time string is good.when dateformatutils.format takes a calendar parameter, the time string is wrong, the timezone parameter is ignored. "
74,74,"1 0.19580952380952385, 4 0.18069841269841272, 0 0.1655873015873016, 3 0.13536507936507938, 2 0.11847619047619048, 6 0.10780952380952381, 5 0.09625396825396824","when using a custom format registered and a choice format with an inner format is used in the same message format, an indexoutofboundsexception occurs in the custructor of extendedmessageformat:{code:java}new extendedmessageformat(""hi {0,test,any}, got {1,choice,0#none|1#one|1<{1,number}}"", collections.singletonmap(""test"", new testformatfactory()));{code}{noformat}java.lang.indexoutofboundsexception: index: 2, size: 2 at java.util.arraylist.rangecheck(arraylist.java:604) at java.util.arraylist.get(arraylist.java:382) at org.apache.commons.lang.text.extendedmessageformat.insertformats(extendedmessageformat.java:364) at org.apache.commons.lang.text.extendedmessageformat.applypattern(extendedmessageformat.java:192) at org.apache.commons.lang.text.extendedmessageformat.<init>(extendedmessageformat.java:127){noformat}the problem occurs at the start of {{\{1,number\}}}.as a workaround i registered the {{testformatfactory}} also for ""choice"" and then returning {{new choiceformat(arguments)}}, but that is not the idea.i also checked the change logs, but there seems no change on this problem. i have not tester, but i think the bug still is present in the current release. "
75,75,"4 0.23878536922015187, 0 0.14699792960662525, 3 0.14216701173222912, 6 0.13250517598343686, 2 0.11801242236024843, 5 0.11801242236024843, 1 0.10351966873706007","booleanutils.xor(true, true, false, true) returns false, although true ^ true ^ false ^ true is true. this is because the implementation only checks the count of true in the provided array. "
76,76,"6 0.19585253456221194, 0 0.19406041986687145, 2 0.1313364055299539, 3 0.13133640552995388, 1 0.11699948796722992, 4 0.11520737327188942, 5 0.11520737327188942",add a method which allows to remove the final modifier from a fieldsee http://goo.gl/jo1vjh for further details. 
77,77,"4 0.1693121693121693, 2 0.1658399470899471, 0 0.1496362433862434, 3 0.14500661375661375, 6 0.13574735449735448, 1 0.12880291005291003, 5 0.10565476190476189","stringutils.getlevenshteindistance(charsequence s, charsequence t, int threshold) specifies:{quote}{{find the levenshtein distance between two strings if its _+*less than or equal to*+_ a given threshold.}}{quote}when passing a threshold > *integer.max_value - max(s.length(), t.length())* the method always returns -1.the simplest use case is passing *integer.max_value* (a common practice if one would want to find the min/max ld of a string to several other strings in an iterative fashion.the code should be fixed to consider the threshold in relation to the source/target lengths, or alternatively the javadoc should be fixed to pronounce the current limit. "
78,78,"1 0.31495405179615704, 6 0.1441938178780284, 0 0.131328320802005, 3 0.10676691729323307, 4 0.10676691729323307, 2 0.09974937343358395, 5 0.09624060150375938","exception while trying to format a string containing escaped braces{code}exception in thread ""main"" java.lang.illegalargumentexception: invalid format argument index at position 7: } at org.apache.commons.lang3.text.extendedmessageformat.readargumentindex(extendedmessageformat.java:357) at org.apache.commons.lang3.text.extendedmessageformat.applypattern(extendedmessageformat.java:167) at org.apache.commons.lang3.text.extendedmessageformat.<init>(extendedmessageformat.java:128) at org.apache.commons.lang3.text.extendedmessageformat.<init>(extendedmessageformat.java:113) at test.testextendedmessageformat.main(testextendedmessageformat.java:16){code}i will attach a source "
79,79,"0 0.2500575109270762, 2 0.15504945939728546, 3 0.14699792960662522, 4 0.13089487002530478, 6 0.10835058661145619, 1 0.1051299746951921, 5 0.10351966873706006",simpledateformat has a set2digityearstart(date startdate) method to determine the start of the default century. fastdateparser uses a static 80 years in the past as the default century start.the application should be able to set the default century as part of the constructor. 
80,80,"0 0.24011085915847818, 6 0.19072814310909547, 3 0.16691861929957166, 4 0.12106324011085914, 2 0.11400856638951876, 5 0.08931720836482739, 1 0.07785336356764926","when one trys to get the fragments of a calendar object and uses the fragment year or month, the returned value is wrong by 1 day in the targeted timeunit. the bug resides in the class *dateutils* in function {code}private static long getfragment(calendar calendar, int fragment, int unit){code}there is an initial recalculation if the fragment is year or month. so if one would like to have the minutes for the fragment year for the date 2000-01-01 00:00:00 this would return 1440 which is actually wrong. the error can be found on lines 1635 - 1643.suggested fix:{code}// fragments bigger than a day require a breakdown to days switch (fragment) { case calendar.year: result += ((calendar.get(calendar.day_of_year)-1) * millis_per_day) / millisperunit; break; case calendar.month: result += ((calendar.get(calendar.day_of_month)-1) * millis_per_day) / millisperunit; break; }{code} "
81,81,"4 0.19569160997732427, 0 0.15918367346938778, 1 0.14648526077097504, 6 0.14648526077097504, 3 0.13061224489795917, 2 0.11950113378684807, 5 0.10204081632653064","when trying to convert ""0085"" with numberutils.createinteger(string) an numberformatexception is thrown. this is because the leading 0 causes the string to be evaluated as an octal, 8 is not a valid octal.however numberutils#isnumber(string) evaluates to true, even so it cannot be converted. "
82,82,"0 0.17599554441659698, 3 0.17599554441659698, 1 0.13700918964076858, 4 0.1311612364243943, 6 0.1292119186856029, 2 0.12531328320802007, 5 0.12531328320802007",isnumber() does not allow for 0xabcd whereas createnumber() allows for both 0xabcd and 0xabcd 
83,83,"0 0.24050294275013379, 3 0.2018013197788479, 4 0.14999108257535224, 2 0.14811842339932227, 1 0.09693240592116996, 5 0.08507223113964688, 6 0.07758159443552701","numericentityescaper will incorrectly encode supplementary unicode characters depending on the char length of the first code point in the string.to reproduce, run:{code}string escaped = numericentityescaper.between(0x7f, integer.max_value).translate(""a \ud83d\udc14 \ud83d\udca9"");{code}expected:{code}escaped == ""a 🐔 💩""{code}actual:{code}escaped == ""a 🐔� 💩�""{code}the issue lies in charsequencetranslator.translate() and the way it checks code points to figure out how many characters it needs to consume. specifically, the issue is on [line 95|https://github.com/apache/commons-lang/blob/trunk/src/main/java/org/apache/commons/lang3/text/translate/charsequencetranslator.java#l95]:{code}// contract with translators is that they have to understand codepoints // and they just took care of a surrogate pairfor (int pt = 0; pt < consumed; pt++) { pos += character.charcount(character.codepointat(input, pt));}{code}the point of this code is to check the charcount of the character that was just translated and move ahead by that many characters in the input string. the bug is that its indexing into the string using pt, which is _always_ 0 at the beginning of the loop. its effetively checking the charcount of first character in the string every time.a patch is attached that fixes the issue and includes supporting unit tests. fixing this issue in charsequencetranslator uncovered an issue in csvescaper/csvunescaper caused by the fact that it wasnt respecting the ""code point contract"" described in charsequencetranslator.translate. the fix there was to have the translate methods return the strings code point count rather than character count. "
84,84,"0 0.21280423280423286, 2 0.19354497354497358, 1 0.18391534391534395, 6 0.11947089947089949, 4 0.1031746031746032, 3 0.09724867724867726, 5 0.08984126984126985","gary gregory has reported failing tests during the vote for lang 3.3 rc1, when building with:{code}java version ""1.8.0""java(tm) se runtime environment (build 1.8.0-b128)java hotspot(tm) 64-bit server vm (build 25.0-b69, mixed mode)apache maven 3.2.1 (ea8b2b07643dbb1b84b6d16e1f08391b666bc1e9;2014-02-14t12:37:52-05:00)maven home: c:\java\apache-maven-3.2.1\bin\..java version: 1.8.0, vendor: oracle corporationjava home: c:\program files\java\jdk1.8.0\jredefault locale: en_us, platform encoding: cp1252os name: ""windows 7"", version: ""6.1"", arch: ""amd64"", family: ""dos""{code}{code}fastdateformat_parsertest>fastdateparsertest.testparses:242->fastdateparsertest.validatesdfformatfdpparseequality:219 » parse fastdateparsertest.testparses:242->validatesdfformatfdpparseequality:219 » parserunning org.apache.commons.lang3.time.fastdateformat_parsertest /1/2/10/5/??/0/0/?/+0000 ja_jp_jp_#u-ca-japanese 1867 g/y/m/d/h/a/m/s/e/z america/new_york tests run: 29, failures: 0, errors: 1, skipped: 0, time elapsed: 2.491 sec <<< failure! - in org.apache.commons.lang3.time.fastdateformat_parsertest testparses(org.apache.commons.lang3.time.fastdateformat_parsertest) time elapsed: 1.492 sec <<< error! java.text.parseexception: (the ja_jp_jp_#u-ca-japanese locale does not support dates before 1868 ad){code}see: http://markmail.org/message/suvorq3xrqmimnui "
85,85,"0 0.1893424036281179, 5 0.18140589569160998, 3 0.15759637188208617, 2 0.1306122448979592, 4 0.12426303854875283, 6 0.11473922902494331, 1 0.10204081632653064","the method durationformatutils#lexx does not detect if the format string contains an unmatched single-quote character.for example ""ymd\test"" should really be rejected, as the literal string ""test"" is not properly terminated. "
86,86,"0 0.2477324263038549, 3 0.2146636432350718, 2 0.12339380196523052, 4 0.1220710506424792, 6 0.10619803476946331, 1 0.09693877551020405, 5 0.08900226757369617","durationformatutils assumes that the the number of days, hours, minutes, seconds and milliseconds can be expressed as an int when converted from a long duration in milliseconds.however even the number of days can exceed an int if the duration is large enough.its unlikely that such large durations will often be used, but this restriction is not documented. it should be easy enough to use long fields instead of int. "
87,87,"0 0.23044421605572687, 3 0.19447299303414411, 6 0.19367363252255337, 2 0.1241292680141601, 1 0.12173118647938792, 5 0.07616763731871644, 4 0.05938106657531116","commons lang3 screwed up my system after upgraded to 3.3 last night!we use dateutils.getfragmentindays(date, calendar.month) to extract days for later use. basically (in 3.2), today (mar. 13) returns 13, but, it returns 12 in 3.3!i compared the underlying method org.apache.commons.lang3.time.dateutils.getfragment(calendar, int, int) between 3.2 and 3.3:3.2{code:java} // fragments bigger than a day require a breakdown to days switch (fragment) { case calendar.year: result += (calendar.get(calendar.day_of_year) * millis_per_day) / millisperunit; break; case calendar.month: result += (calendar.get(calendar.day_of_month) * millis_per_day) / millisperunit; break; }{code}3.3{code:java} // fragments bigger than a day require a breakdown to days switch (fragment) { case calendar.year: result += ((calendar.get(calendar.day_of_year) -1) * millis_per_day) / millisperunit; break; case calendar.month: result += ((calendar.get(calendar.day_of_month) -1) * millis_per_day) / millisperunit; break; default: break; }{code}is there any any reason for adding -1 in 3.3?! plus, do you have any unit test for this method? "
88,88,"0 0.244298485677796, 3 0.16128443714650606, 4 0.13701879219120597, 2 0.12807881773399013, 1 0.12169312169312166, 5 0.10381317277869, 6 0.10381317277869","after upgrading from 3.1 to 3.3.1, it seems that {{isnumber(string str)}} returns false for decimal numbers with leading zeros. in other words:{code:java}boolean ret = numberutils.isnumber(""0.4790"");{code}on 3.1, {{ret}} was true. in 3.3.1, {{ret}} is false.guessing that lang-972 is related... comment in the code states:{code:java}// leading 0, but not hex, must be octal{code}this is clearly a case where leading 0 means neither hex nor octal. "
89,89,"1 0.1831065759637188, 0 0.1454081632653061, 3 0.1454081632653061, 2 0.1414399092970521, 4 0.12953514739229027, 5 0.1275510204081633, 6 0.1275510204081633",via github: https://github.com/apache/commons-lang/pull/18 
90,90,"0 0.19450367211561242, 2 0.16465292584695568, 4 0.14475242833451787, 5 0.13646055437100213, 3 0.12982705520018953, 6 0.12153518123667376, 1 0.1082681828950486","it spits out complete garbage.{code}system.out.println(durationformatutils.formatdurationhms(-3454));system.out.println(durationformatutils.formatperiodiso(4000, 3000));{code}{noformat}0:00:-3.-454p-1y11m30dt23h59m59.000s{noformat}it should throw an {{illegalargumentexception}} if duration is < 0 or period diff is < 0. "
91,91,"0 0.2368032484311554, 3 0.18641565153193063, 2 0.1463639719453673, 6 0.11406423034330009, 4 0.11018826135105203, 5 0.10760428202288665, 1 0.09856035437430784","this method has several flaws:1. javadoc says: ""the format used is iso8601-like: h:m:s.s."" but the method call supplies ""h:mm:ss.sss""2. iso time never omits leading zeros, so the proper pattern must be ""hh:mm:ss.sss""3. the method name says: ""hms"" but includes the second fraction.since the use of fractions is optional, the method should use ""hh:mm:ss"" and update the javadoc as well. "
92,92,"4 0.18260751594084929, 3 0.17026183692850358, 0 0.15601682268348932, 6 0.1522181522181522, 2 0.1427214760548094, 1 0.09903676570343234, 5 0.09713743047076377","with commons-lang 3.2.2:numberutils.createnumber(""-160952.54"");the result is ""-160952.55"".should not be based on the length of the decimal point number to judge whether the floating point number.using the method (createfloat(str)) of dealing with the valid number greater than seven numbers will cause accuracy loss.the source code is as follows:{code:java}try { if(numdecimals <= 7){// if number has 7 or fewer digits past the decimal point then make it a float final float f = createfloat(str); if (!(f.isinfinite() || (f.floatvalue() == 0.0f && !allzeros))) { return f; } } } catch (final numberformatexception nfe) { // nopmd // ignore the bad number } try { if(numdecimals <= 16){// if number has between 8 and 16 digits past the decimal point then make it a double final double d = createdouble(str); if (!(d.isinfinite() || (d.doublevalue() == 0.0d && !allzeros))) { return d; } } } catch (final numberformatexception nfe) { // nopmd // ignore the bad number } return createbigdecimal(str); }{code} "
93,93,"0 0.22320069580343552, 1 0.21787345075016304, 4 0.14253098499673839, 5 0.13796477495107629, 2 0.11969993476842788, 6 0.08469232441835178, 3 0.07403783431180688","strsubsitutor caches a references to systemproperties statically on first class references. this does not work properly with system.setproperties(). for example the following code:{code}package test.utilities;import java.util.properties;import org.apache.commons.lang.text.strsubstitutor;public class teststrsubstitutor { public static void main(string[] args) { system.out.println(strsubstitutor.replacesystemproperties(""os.name=${os.name}"")); properties testprops = new properties(); testprops.put(""test_key"", ""test_value""); testprops.putall(system.getproperties()); system.setproperties(testprops); system.out.println(strsubstitutor.replace(""test_key=${test_key}"", system.getproperties())); system.out.println(strsubstitutor.replacesystemproperties(""test_key=${test_key}"")); }}{code}produces the following output:{code}os.name=windows 7test_key=test_valuetest_key=${test_key}{code}the code linked here shows the static caching of the system properties reference: http://commons.apache.org/proper/commons-lang/apidocs/src-html/org/apache/commons/lang3/text/strlookup.html "
94,94,"4 0.17679255610290093, 3 0.17487684729064037, 6 0.14230979748221126, 1 0.13656267104542968, 0 0.12315270935960596, 2 0.12315270935960596, 5 0.12315270935960596","the isnumber method assumes, that if the string being passed in doesn\t have an \x\ at the second char it is an octal number. "
95,95,"2 0.3573330130707181, 0 0.2750855701675374, 4 0.14001481214595968, 3 0.10316459496787364, 6 0.04767909685942474, 5 0.046978522388358465, 1 0.029744390400128107","the following code throws an exception:dateparser dp = fastdateformat.getinstance(""z yyyy"", locale.us);dp.parse(""gmt+00:00 2010"");the format works correctly with simpledateformat.stack:java.text.parseexception: unparseable date: ""gmt+00:00 2010"" does not match (gmt[+\-]\d{0,1}\d{2}|[+\-]\d{2}:?\d{2}|\qacre time\e|\qact\e|\qadt\e|\qafghanistan time\e|\qaft\e|\qakdt\e|\qakst\e|\qalaska daylight time\e|\qalaska standard time\e|\qalma-ata time\e|\qalmt\e|\qamazon summer time\e|\qamazon time\e|\qamst\e|\qamt\e|\qanadyr time\e|\qanat\e|\qaqtau time\e|\qaqtobe time\e|\qaqtt\e|\qarabia standard time\e|\qargentine time\e|\qarmenia time\e|\qart\e|\qast\e|\qatlantic daylight time\e|\qatlantic standard time\e|\qazerbaijan summer time\e|\qazerbaijan time\e|\qazores summer time\e|\qazores time\e|\qazost\e|\qazot\e|\qazst\e|\qazt\e|\qbangladesh time\e|\qbdt\e|\qbhutan time\e|\qbnt\e|\qbolivia time\e|\qbot\e|\qbrasilia summer time\e|\qbrasilia time\e|\qbritish summer time\e|\qbrst\e|\qbrt\e|\qbrunei time\e|\qbst\e|\qbtt\e|\qcape verde time\e|\qcat\e|\qcct\e|\qcdt\e|\qcentral african time\e|\qcentral daylight time\e|\qcentral european summer time\e|\qcentral european time\e|\qcentral indonesia time\e|\qcentral standard time\e|\qcentral standard time (northern territory)\e|\qcentral standard time (south australia)\e|\qcentral standard time (south australia/new south wales)\e|\qcentral summer time (south australia)\e|\qcentral summer time (south australia/new south wales)\e|\qcentral western standard time (australia)\e|\qcest\e|\qcet\e|\qchadt\e|\qchamorro standard time\e|\qchast\e|\qchatham daylight time\e|\qchatham standard time\e|\qchile summer time\e|\qchile time\e|\qchina standard time\e|\qchoibalsan time\e|\qchot\e|\qchristmas island time\e|\qchst\e|\qchut\e|\qchuuk time\e|\qckt\e|\qclst\e|\qclt\e|\qcocos islands time\e|\qcolombia time\e|\qcook is. time\e|\qcoordinated universal time\e|\qcot\e|\qcst\e|\qcuba daylight time\e|\qcuba standard time\e|\qcvt\e|\qcwst\e|\qcxt\e|\qdavis time\e|\qdavt\e|\qddut\e|\qdumont-durville time\e|\qeasst\e|\qeast\e|\qeast indonesia time\e|\qeaster is. summer time\e|\qeaster is. time\e|\qeastern african time\e|\qeastern daylight time\e|\qeastern european summer time\e|\qeastern european time\e|\qeastern greenland summer time\e|\qeastern greenland time\e|\qeastern standard time\e|\qeastern standard time (new south wales)\e|\qeastern standard time (queensland)\e|\qeastern standard time (tasmania)\e|\qeastern standard time (victoria)\e|\qeastern summer time (new south wales)\e|\qeastern summer time (tasmania)\e|\qeastern summer time (victoria)\e|\qeat\e|\qect\e|\qecuador time\e|\qedt\e|\qeest\e|\qeet\e|\qegst\e|\qegt\e|\qest\e|\qfalkland is. time\e|\qfernando de noronha time\e|\qfet\e|\qfiji summer time\e|\qfiji time\e|\qfjst\e|\qfjt\e|\qfkt\e|\qfnt\e|\qfrench guiana time\e|\qfrench southern & antarctic lands time\e|\qfurther-eastern european time\e|\qgalapagos time\e|\qgalt\e|\qgambier time\e|\qgamt\e|\qgeorgia time\e|\qget\e|\qgft\e|\qghana mean time\e|\qgilbert is. time\e|\qgilt\e|\qgmt\e|\qgreenwich mean time\e|\qgst\e|\qgulf standard time\e|\qguyana time\e|\qgyt\e|\qhadt\e|\qhast\e|\qhawaii standard time\e|\qhawaii-aleutian daylight time\e|\qhawaii-aleutian standard time\e|\qhkt\e|\qhong kong time\e|\qhovd time\e|\qhovt\e|\qhst\e|\qict\e|\qidt\e|\qindia standard time\e|\qindian ocean territory time\e|\qindochina time\e|\qiot\e|\qiran daylight time\e|\qiran standard time\e|\qirdt\e|\qirish summer time\e|\qirkt\e|\qirkutsk time\e|\qirst\e|\qisrael daylight time\e|\qisrael standard time\e|\qist\e|\qjapan standard time\e|\qjst\e|\qkgt\e|\qkhandyga time\e|\qkirgizstan time\e|\qkorea standard time\e|\qkosrae time\e|\qkost\e|\qkrasnoyarsk time\e|\qkrat\e|\qkst\e|\qlhst\e|\qline is. time\e|\qlint\e|\qlord howe standard time\e|\qlord howe summer time\e|\qmacquarie island time\e|\qmagadan time\e|\qmagt\e|\qmalaysia time\e|\qmaldives time\e|\qmarquesas time\e|\qmarshall islands time\e|\qmart\e|\qmauritius time\e|\qmawson time\e|\qmawt\e|\qmdt\e|\qmest\e|\qmet\e|\qmetlakatla standard time\e|\qmht\e|\qmiddle europe summer time\e|\qmiddle europe time\e|\qmist\e|\qmmt\e|\qmoscow standard time\e|\qmountain daylight time\e|\qmountain standard time\e|\qmsk\e|\qmst\e|\qmut\e|\qmvt\e|\qmyanmar time\e|\qmyt\e|\qnauru time\e|\qnct\e|\qndt\e|\qnepal time\e|\qnew caledonia time\e|\qnew zealand daylight time\e|\qnew zealand standard time\e|\qnewfoundland daylight time\e|\qnewfoundland standard time\e|\qnft\e|\qniue time\e|\qnorfolk time\e|\qnovosibirsk time\e|\qnovt\e|\qnpt\e|\qnrt\e|\qnst\e|\qnut\e|\qnzdt\e|\qnzst\e|\qomsk time\e|\qomst\e|\qoral time\e|\qorat\e|\qpacific daylight time\e|\qpacific standard time\e|\qpakistan time\e|\qpalau time\e|\qpapua new guinea time\e|\qparaguay summer time\e|\qparaguay time\e|\qpdt\e|\qperu time\e|\qpet\e|\qpetropavlovsk-kamchatski time\e|\qpett\e|\qpgt\e|\qphilippines time\e|\qphoenix is. time\e|\qphot\e|\qpht\e|\qpierre & miquelon daylight time\e|\qpierre & miquelon standard time\e|\qpitcairn standard time\e|\qpkt\e|\qpmdt\e|\qpmst\e|\qpohnpei time\e|\qpont\e|\qpst\e|\qpwt\e|\qpyst\e|\qpyt\e|\qqyzt\e|\qqyzylorda time\e|\qret\e|\qreunion time\e|\qrothera time\e|\qrott\e|\qsakhalin time\e|\qsakt\e|\qsamara time\e|\qsamoa standard time\e|\qsamt\e|\qsast\e|\qsbt\e|\qsct\e|\qseychelles time\e|\qsgt\e|\qsingapore time\e|\qsolomon is. time\e|\qsouth africa standard time\e|\qsouth georgia standard time\e|\qsrt\e|\qsst\e|\qsuriname time\e|\qsyot\e|\qsyowa time\e|\qtahiti time\e|\qtaht\e|\qtajikistan time\e|\qtft\e|\qtimor-leste time\e|\qtjt\e|\qtkt\e|\qtlt\e|\qtmt\e|\qtokelau time\e|\qtonga time\e|\qtot\e|\qturkmenistan time\e|\qtuvalu time\e|\qtvt\e|\qulaanbaatar time\e|\qulat\e|\quruguay summer time\e|\quruguay time\e|\qust-nera time\e|\qutc\e|\quyst\e|\quyt\e|\quzbekistan time\e|\quzt\e|\qvanuatu time\e|\qvenezuela time\e|\qvet\e|\qvladivostok time\e|\qvlat\e|\qvolgograd time\e|\qvolt\e|\qvost\e|\qvostok time\e|\qvut\e|\qwake time\e|\qwakt\e|\qwallis & futuna time\e|\qwast\e|\qwat\e|\qwest\e|\qwest indonesia time\e|\qwest samoa daylight time\e|\qwest samoa time\e|\qwestern african summer time\e|\qwestern african time\e|\qwestern european summer time\e|\qwestern european time\e|\qwestern greenland summer time\e|\qwestern greenland time\e|\qwestern standard time (australia)\e|\qwet\e|\qwft\e|\qwgst\e|\qwgt\e|\qwib\e|\qwit\e|\qwita\e|\qwsdt\e|\qwst\e|\qyakt\e|\qyakutsk time\e|\qyekaterinburg time\e|\qyekt\e)\q \e(\p{nd}++) at org.apache.commons.lang3.time.fastdateparser.parse(fastdateparser.java:289) at org.apache.commons.lang3.time.fastdateformat.parse(fastdateformat.java:487) "
96,96,"2 0.25489110372831303, 1 0.1786637135474345, 0 0.17607973421926912, 3 0.12956810631229235, 4 0.09468438538205977, 5 0.08305647840531563, 6 0.08305647840531563","i think there is typo in below line:{code:title= org.apache.commons.lang3.math.numberutils.java|borderstyle=solid} if (str.startswith(""0x"", pos) || str.startswith(""0x"", pos)) { // hex radix = 16; pos += 2;}{code}the second ""0x"" should be ""0x""{code:title= org.apache.commons.lang3.math.numberutils.java|borderstyle=solid} if (str.startswith(""0x"", pos) || str.startswith(""0x"", pos)) { // hex radix = 16; pos += 2;}{code} "
97,97,"4 0.21697494424767155, 2 0.1875901875901876, 0 0.16187852551488915, 6 0.15545060999606458, 1 0.14351305260396172, 3 0.0755608028335301, 5 0.05903187721369541","{code:title=org.apache.commons.lang3.arrayutils.java|borderstyle=solid} public static <t> t[] add(final t[] array, final t element) { class<?> type; if (array != null){ type = array.getclass(); } else if (element != null) { type = element.getclass(); } else { throw new illegalargumentexception(""arguments cannot both be null""); } ....... }{code}i think it should be:{code:title=org.apache.commons.lang3.arrayutils.java|borderstyle=solid} public static <t> t[] add(final t[] array, final t element) { class<?> type; if (array != null){ type = array.getclass().getcomponenttype(); } else if (element != null) { type = element.getclass(); } else { throw new illegalargumentexception(""arguments cannot both be null""); } ....... }{code} "
98,98,"0 0.4113402936932348, 1 0.13504795857737037, 2 0.12910618792971737, 3 0.11365758424581955, 5 0.08810797046091165, 6 0.06968848145318733, 4 0.05305152363975893","{code:title= org.apache.commons.lang3.stringutils.java|borderstyle=solid} int found = 0; int index = lastindex ? str.length() : index_not_found; do { if (lastindex) { index = charsequenceutils.lastindexof(str, searchstr, index - 1); } else { index = charsequenceutils.indexof(str, searchstr, index + 1); } if (index < 0) { return index; } found++; } while (found < ordinal);{code}should it be:{code:title= org.apache.commons.lang3.stringutils.java|borderstyle=solid} private static int ordinalindexof(final charsequence str, final charsequence searchstr, final int ordinal, final boolean lastindex) { // if (str == null || searchstr == null || ordinal <= 0) { // return index_not_found; // } // if (searchstr.length() == 0) { // return lastindex ? str.length() : 0; // } // int found = 0; // int index = lastindex ? str.length() : index_not_found; // do { // if (lastindex) { // index = charsequenceutils.lastindexof(str, searchstr, index - 1); // } else { // index = charsequenceutils.indexof(str, searchstr, index + 1); // } // if (index < 0) { // return index; // } // found++; // } while (found < ordinal); // return index; if (str == null || searchstr == null || ordinal <= 0) { return index_not_found; } if (searchstr.length() == 0) { return lastindex ? str.length() : 0; } final int searchstrlen = searchstr.length(); int index = lastindex ? str.length() : 0; for (int found = 0; index >= 0;) { if (lastindex) { index = charsequenceutils.lastindexof(str, searchstr, index); } else { index = charsequenceutils.indexof(str, searchstr, index); } if (index < 0) { return index_not_found; } if (++found >= ordinal) { break; } index = lastindex ? index - searchstrlen : index + searchstrlen; } return index; }{code} "
99,99,"0 0.210189452124936, 6 0.14746543778801843, 2 0.1349206349206349, 3 0.1313364055299539, 5 0.1313364055299539, 4 0.1295442908346134, 1 0.11520737327188944","this is probably just a quirk of the old jdk that was used.the casts are not necessary on other computers, but they don\t seem to hurt either. (please verify that of course!) "
100,100,"5 0.17484737484737484, 3 0.16800976800976802, 0 0.15775335775335775, 4 0.14236874236874236, 6 0.13724053724053722, 1 0.10989010989010992, 2 0.10989010989010992","{{numberutils.createnumber(""-0.0"")}} returns {{bigdecimal}} with 0 signum.caused by the implementation not checking for sign when extracting mantissa from the input string.expected is that negative {{float}} is returned. "
101,101,"0 0.19530710835058662, 3 0.19369680239245457, 2 0.1631009891879457, 1 0.12928456406717276, 6 0.1083505866114562, 4 0.10674028065332415, 5 0.10351966873706007",fastdateparser does not do any validation of dates/times.it acts similarly to simpledateformat (sdf) in lenient mode.however it does not generate the same output as sdf for input where the number of hours is greater than the normal range (e.g. > 12 for hh or > 23 for hh) 
