,Document_No,Topics,Text
3247,3247,"5 0.25744047619047616, 6 0.17757936507936506, 0 0.11681547619047622, 1 0.11334325396825398, 2 0.11160714285714288, 3 0.11160714285714288, 4 0.11160714285714288", fastdateparser does not handle non-gregorian calendars properly applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3248,3248,"2 0.27399267399267396, 0 0.1338217338217338, 4 0.12527472527472525, 6 0.12527472527472525, 3 0.11672771672771676, 1 0.11330891330891332, 5 0.11159951159951162"," - add isonetrue(booleans...) to booleanutils to preserve old behavior of booleanutils.xor(booleans...). added isonetrue for primitives and wrappers, isonefalse still missing."
3249,3249,"0 0.2825814536340852, 2 0.14223057644110274, 3 0.13784461152882202, 4 0.13492063492063489, 6 0.10275689223057644, 1 0.10129490392648287, 5 0.09837092731829575","a bit of dog food and a lot of javadoc tweakageadd final modifier to local variables.[] methodutils.invoke*(*, object... args) variants cannot handle null valuesmoving most of the methods over to varargs. a couple cant change because they are object[], class[] with both end parameters ideally wanting to be vararg. 396"
3250,3250,"0 0.1878306878306878, 3 0.14256319811875368, 2 0.14050558495002938, 1 0.1322751322751323, 4 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: add empty checks to objectutils
3251,3251,"5 0.2579994960947342, 6 0.1715797430083144, 1 0.11514235323759134, 2 0.11514235323759134, 0 0.11337868480725624, 3 0.11337868480725624, 4 0.11337868480725624", fastdateparser does not handle excess hours as per simpledateformattrailing spacesapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3252,3252,"0 0.21719576719576716, 2 0.14867724867724866, 1 0.13941798941798939, 5 0.13571428571428568, 6 0.12089947089947092, 3 0.11904761904761907, 4 0.11904761904761907",applying the copy of the hashcodebuilder code to stop cyclic references over to equalsbuilder per and oliver sauders patch
3253,3253,"5 0.1536388140161725, 6 0.1536388140161725, 2 0.15154237795747227, 1 0.13686732554657086, 0 0.13477088948787064, 3 0.13477088948787064, 4 0.13477088948787064",checkstyle and trailing spaces.
3254,3254,"1 0.7125778581474782, 2 0.050833835643962225, 5 0.05013060076351216, 3 0.048724131002612005, 4 0.046614426361261806, 0 0.045911191480811735, 6 0.045207956600361664",: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
3255,3255,"2 0.19194591416813633, 4 0.14050558495002938, 3 0.13639035861258086, 1 0.13433274544385657, 0 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: added shuffle methods to arrayutils
3256,3256,"2 0.201137171286425, 4 0.18455342335939348, 0 0.14475242833451785, 3 0.12319355602937693, 5 0.12153518123667374, 6 0.11324330727315804, 1 0.1115849324804549",reuse code already available in stringutilsmore source code to format...: add the jaro-winkler string distance algorithm to stringutils - partially applying the patch by rekha joshi as submitted for further refinement
3257,3257,"5 0.28725038402457753, 3 0.12416794674859191, 6 0.12058371735791092, 0 0.11879160266257041, 4 0.11879160266257041, 1 0.1152073732718894, 2 0.1152073732718894",document intentional drop-thruapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3258,3258,"6 0.16108171663727217, 0 0.15902410346854792, 5 0.15079365079365076, 1 0.1322751322751323, 2 0.1322751322751323, 3 0.1322751322751323, 4 0.1322751322751323",4fastdateformat apis that use a stringbuilderrefactor some duplicate code.
3259,3259,"5 0.291959406713505, 4 0.12256049960967995, 0 0.117096018735363, 1 0.117096018735363, 2 0.117096018735363, 3 0.117096018735363, 6 0.117096018735363",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
3260,3260,"0 0.25570436507936506, 3 0.13764880952380948, 2 0.12896825396825393, 6 0.12723214285714282, 4 0.12375992063492063, 1 0.1150793650793651, 5 0.11160714285714288",[] org.apache.commons.lang3.reflect.fieldutils.removefinalmodifier(field) does not clean up after itself.add in-line comment.removefinalmodifier does not clean up after itself.ws - add removefinalmodifier to fieldutils
3261,3261,"5 0.25223214285714285, 6 0.18278769841269837, 0 0.1168154761904762, 1 0.11334325396825398, 2 0.11160714285714286, 3 0.11160714285714286, 4 0.11160714285714286", fastdateparser does not handle non-gregorian calendars properly applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3262,3262,"2 0.24958949096880126, 1 0.12698412698412698, 3 0.12698412698412698, 6 0.12698412698412698, 0 0.1231527093596059, 4 0.1231527093596059, 5 0.1231527093596059",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.
3263,3263,"4 0.19501133786848068, 0 0.1672335600907029, 1 0.1275510204081633, 2 0.1275510204081633, 3 0.1275510204081633, 5 0.1275510204081633, 6 0.1275510204081633", - stackoverflowerror on typeutils.tostring(...) for a generic return type of enum.valueof ()
3264,3264,"2 0.19249639249639244, 4 0.14199134199134197, 1 0.13795093795093796, 3 0.13593073593073596, 0 0.1318903318903319, 5 0.12987012987012986, 6 0.12987012987012986",added escape/unescapejson methods per maurizio cucchiaras patch in 797
3265,3265,"0 0.1642996379838485, 2 0.16040100250626563, 1 0.15260373155109994, 3 0.13505987190197719, 4 0.13116123642439434, 5 0.1311612364243943, 6 0.1253132832080201","use validatenotnull instead of ""throw new nullpointerexception""adding basicthreadfactory class. same as olivers original patch in , with an @since 3.0 added"
3266,3266,"4 0.2560846560846561, 2 0.14682539682539678, 1 0.12089947089947091, 0 0.11904761904761905, 3 0.11904761904761905, 5 0.11904761904761905, 6 0.11904761904761905",: avoid string allocation in strbuilder.append(charsequence). this fixes from github. thanks to mikhail mazurskiy and fabian lange.
3267,3267,"1 0.7146875627888286, 2 0.05294354028531244, 3 0.048724131002612026, 4 0.047317661241711884, 0 0.04591119148081175, 5 0.04520795660036168, 6 0.04520795660036168",: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
3268,3268,"3 0.22278911564625845, 2 0.1354875283446712, 1 0.13151927437641722, 0 0.12755102040816327, 4 0.12755102040816327, 5 0.12755102040816327, 6 0.12755102040816327",fixing crlfsstatement unnecessarily nested within else clause.add threadutils
3269,3269,"4 0.26904761904761904, 6 0.13571428571428568, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 5 0.11904761904761905",remove superfluous parens like:return (foo + 1);int len = (foo + 1);if ((foo + 1 > 2))((string) foo)
3270,3270,"4 0.6839611466477139, 6 0.08473505488430862, 0 0.054331517018084176, 2 0.04935639263997472, 5 0.0454868514570007, 1 0.0421701018715944, 3 0.03995893548132354","sort members.make sure lines in files dont have trailing white spaces and remove all trailing white spaces: bring static method references in stringutils to consistent style. thanks to alex yurshaapplying alexander muthmanns patch from , adding isblank/isempty charsequence... variantschange stringutils arguments from string to charsequence.details: working with (trunk) stringutils (su) i see the following emerge: - in svn already and continuing: change stringutils arguments from string to charsequence (cs).- this leads to replacing calls to string.substring(int[,int]) with calls to charsequence.subsequence(int)- this leads to creating a charsequenceutils class (in svn now, more on this new class below) and charsequenceutils.subsequence(charsequence,int) to avoid changing ""str.substring(start)"" over and over to ""str.subsequence(start, str.length())"". for examples, see new versions of capitalize and uncapitalize.- we end up using a tostring() on charsequence to return a string from stringutil when working with a charsequence.so we have stringutils using charsequence inputs as much as possible instead of string, which is nice. the charsequence method subsequence returns a charsequence; though the javadoc states ""returns a new charsequence that is a subsequence of this sequence."", this does not guaranteed the return value to be the same kind of charsequence as the receiver). since we are after all in a class called stringutil, calling tostring() is a must.i propose that we create when possible the methods that are now stringutils charsequence methods into charsequenceutils and let stringutil call charsequenceutils and then do its tostring() and other string specific logic. later we could have other charsequence type of utils (for charbuffer, stringbuiler, stringbuffer, etc) that use the primitives from charsequenceutils.this means that for methods that are based solely on methods that are now in charsequence, these can be moved to charsequenceutils without effort (all is* methods only call charsequencelength() and charat() for example and are now typed as cs, still in su). we can leave @deprecateds method in su as a nicety to avoid too much porting pain: first change the package to lang3 then you can optimize by changing call sites from su to csu.as a start, i put in svn a charsequenceutils (csu) implementation for length() and subsequence()."
3271,3271,"0 0.22262922262922266, 2 0.1585266585266585, 3 0.15567765567765568, 6 0.13146113146113145, 4 0.1286121286121286, 1 0.1115181115181115, 5 0.0915750915750916",remove redundant type arguments.: remove unnecessary synchronization from registry lookup in equalsbuilder and hashcodebuilder ()add final modifier to local variables.fixing so that equalsbuilder synchronizes on itself and not hashcodebuilderapplying the copy of the hashcodebuilder code to stop cyclic references over to equalsbuilder per and oliver sauders patch
3272,3272,"5 0.1651969429747207, 2 0.15079365079365076, 0 0.14873603762492646, 6 0.13844797178130513, 1 0.1322751322751323, 3 0.1322751322751323, 4 0.1322751322751323", simplify fastdateformat; eliminate boxing
3273,3273,"6 0.26091269841269843, 3 0.16542658730158724, 2 0.12723214285714285, 0 0.11160714285714286, 1 0.11160714285714286, 4 0.11160714285714286, 5 0.11160714285714286",make sure lines in files dont have trailing white spaces and remove all trailing white spacesadd final modifier to local variables.
3274,3274,"2 0.20169677066228792, 0 0.15763546798029557, 4 0.14805692391899286, 1 0.12315270935960596, 3 0.12315270935960596, 5 0.12315270935960596, 6 0.12315270935960596",extract logic for checking string representation of objects into separate methods
3275,3275,"5 0.2864949258391882, 4 0.12620348685922458, 6 0.11891751236013534, 0 0.11709601873536302, 1 0.11709601873536302, 2 0.11709601873536302, 3 0.11709601873536302",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
3276,3276,"6 0.18298891883797544, 0 0.14315663372267148, 1 0.13477088948787064, 2 0.13477088948787064, 3 0.13477088948787064, 4 0.13477088948787064, 5 0.13477088948787064",[] timezone.gettimezone() in fastdateparser causes resourcecontention</action>. this .
3277,3277,"2 0.28162578162578167, 4 0.12842712842712842, 6 0.12506012506012507, 0 0.12337662337662336, 3 0.12337662337662336, 1 0.10990860990860993, 5 0.10822510822510825",crlf -> lfjavadoc: fix typo but working is still awkward.simplify issamelenght implementations by reusing getlength. this also fixes a lot of the useless paranthesis warnings generated by pmd.
3278,3278,"6 0.17229437229437228, 4 0.1662337662337662, 3 0.141991341991342, 0 0.12987012987012989, 1 0.12987012987012989, 2 0.12987012987012989, 5 0.12987012987012989",remove redundant type arguments.validation
3279,3279,"6 0.28516694033935414, 5 0.2174785623061485, 3 0.13446451377485857, 2 0.09742747673782154, 1 0.09487319832147416, 0 0.08721036307243206, 4 0.08337894544791098",: fastdateformat support of the week-year component (uppercase y)revert while investigating travis failures: fastdateformat support of the week-year component (uppercase y)add final modifier to local variables.refactor some duplicate code.[] fastdateformat generates date objects wastefully.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3280,3280,"2 0.20890022675736958, 6 0.14540816326530606, 3 0.13151927437641722, 1 0.12953514739229025, 4 0.12953514739229025, 0 0.12755102040816327, 5 0.12755102040816327",": add support for varargs in constructorutils, memberutils, and methodutilsthis from github."
3281,3281,"0 0.1693121693121693, 2 0.1569664902998236, 4 0.14462081128747797, 1 0.13227513227513232, 3 0.13227513227513232, 5 0.13227513227513232, 6 0.13227513227513232",: new methods for lang3.validatethis from github.
3282,3282,"5 0.26645849596669263, 6 0.14623991673171996, 1 0.11891751236013531, 0 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299, 4 0.11709601873536299",trailing spacesapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3283,3283,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
3284,3284,"5 0.2783068783068782, 1 0.12275132275132275, 6 0.12275132275132275, 0 0.11904761904761904, 2 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3285,3285,"0 0.20535714285714285, 3 0.1706349206349206, 2 0.14806547619047616, 6 0.12723214285714282, 4 0.12202380952380952, 1 0.1150793650793651, 5 0.11160714285714288","add final modifier to local variables.[] introduced concurrentruntimeexception and extended the exception handling methods of concurrentutils to support runtime exceptions, too."
3286,3286,"2 0.22477324263038542, 4 0.13350340136054423, 1 0.13151927437641722, 0 0.12755102040816327, 3 0.12755102040816327, 5 0.12755102040816327, 6 0.12755102040816327",crlf -> lfjavadoc: fix typo but working is still awkward.
3287,3287,"5 0.27645502645502645, 6 0.12830687830687829, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3288,3288,"2 0.1904761904761904, 0 0.13997113997114, 1 0.13593073593073596, 3 0.13593073593073596, 5 0.13593073593073596, 4 0.1318903318903319, 6 0.12987012987012986","adding basicthreadfactory class. same as olivers original patch in , with an @since 3.0 added"
3289,3289,"0 0.15659340659340656, 3 0.15659340659340656, 1 0.13736263736263737, 2 0.13736263736263737, 4 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",[] clear threadlocal for hashcodebuilder as well
3290,3290,"0 0.19137466307277626, 1 0.13477088948787064, 2 0.13477088948787064, 3 0.13477088948787064, 4 0.13477088948787064, 5 0.13477088948787064, 6 0.13477088948787064",: rounding utilities for converting to bigdecimal
3291,3291,"5 0.28695436507936506, 6 0.13070436507936506, 2 0.12202380952380953, 1 0.1168154761904762, 4 0.1168154761904762, 0 0.11507936507936509, 3 0.11160714285714286",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. checkstyle and trailing spaces.
3292,3292,"4 0.23571428571428568, 3 0.1357142857142857, 6 0.13571428571428568, 2 0.13015873015873014, 1 0.12460317460317462, 0 0.11904761904761907, 5 0.11904761904761907",: add methods for removing all invalid characters according to xml 1.0 and xml 1.1 in an input string to stringescapeutils. thanks to adam hooper
3293,3293,"2 0.3048079135035657, 3 0.1631009891879457, 6 0.11157119852772027, 1 0.10674028065332414, 4 0.10674028065332414, 0 0.10351966873706006, 5 0.10351966873706006",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.crlf -> lfjavadoc: fix typo but working is still awkward.add final modifier to local variables.
3294,3294,"5 0.2650541698160746, 4 0.13630637440161247, 3 0.1292517006802721, 0 0.12396069538926682, 6 0.11866969009826156, 1 0.11337868480725626, 2 0.11337868480725626",change calendar.getinstance to new gregoriancalendarrefactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
3295,3295,"0 0.24702380952380953, 3 0.1688988095238095, 2 0.12549603174603174, 1 0.12028769841269843, 6 0.1150793650793651, 4 0.11160714285714288, 5 0.11160714285714288", enumutils *bitvector issue with more than 32 values enumthis add final modifier to local variables.[] permit bitvector generation for enums with > 64 values; plus some test corrections
3296,3296,"2 0.27994227994228, 4 0.12842712842712842, 0 0.12506012506012507, 3 0.12337662337662336, 6 0.12337662337662336, 1 0.11159211159211162, 5 0.10822510822510825",crlf -> lfjavadoc: fix typo but working is still awkward.simplify issamelenght implementations by reusing getlength. this also fixes a lot of the useless paranthesis warnings generated by pmd.
3297,3297,"0 0.2962347729789591, 6 0.22775932078257666, 4 0.10760428202288667, 1 0.10114433370247324, 2 0.09210040605389444, 5 0.08951642672572907, 3 0.08564045773348103","make sure lines in files dont have trailing white spaces and remove all trailing white spacesdont write parameter[] permit bitvector generation for enums with > 64 values; plus some test correctionsrequire values parameter when generating bit vectors from enums, throwing nullpointerexception if omitted; merge check for type eligibility; add e... generatebitvector() variant; alter generatebitvector(class<e>, enumset<e>) to (class<e>, iterable<e>) by using |= << instead of + to accumulate values; process only specified values"
3298,3298,"5 0.2883164194639604, 4 0.12073900598490762, 0 0.11891751236013531, 1 0.11891751236013531, 6 0.11891751236013531, 2 0.11709601873536299, 3 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
3299,3299,"0 0.21693121693121686, 5 0.1370091896407686, 3 0.13311055416318573, 2 0.1311612364243943, 1 0.13116123642439428, 4 0.12531328320802007, 6 0.12531328320802007",[] add empty_array constants to classes inorg.apache.commons.lang3.tuple
3300,3300,"6 0.16931216931216928, 0 0.15490887713109933, 5 0.14462081128747795, 1 0.13433274544385657, 2 0.1322751322751323, 3 0.1322751322751323, 4 0.1322751322751323",fastdateformat apis that use a stringbuilderrefactor some duplicate code.
3301,3301,"5 0.291959406713505, 4 0.12256049960967995, 0 0.117096018735363, 1 0.117096018735363, 2 0.117096018735363, 3 0.117096018735363, 6 0.117096018735363",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
3302,3302,"3 0.2718820861678005, 2 0.15442176870748298, 6 0.1306122448979592, 4 0.12426303854875283, 0 0.11156462585034013, 1 0.10521541950113382, 5 0.10204081632653064",fix non-critical typos in comments and javadocfix typos in several local variablesscope of local variabel shift can be narrowerpmd: useless parenthesesformat to 120 line length.removed unnecessary multiplication by one.add final modifier to method parameters.
3303,3303,"4 0.16624895572263992, 1 0.1584516847674742, 0 0.15650236702868278, 2 0.14285714285714282, 3 0.1253132832080201, 5 0.1253132832080201, 6 0.1253132832080201",[github] commons-lang pull request : intellij idea refactorings..
3304,3304,"1 0.7002629272567923, 2 0.060862790924140604, 3 0.05472782159898724, 4 0.04927451553218423, 0 0.04586619924043238, 5 0.045184535982082004, 6 0.043821209465381254",add final modifier to method parameters.: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
3305,3305,"2 0.2123015873015873, 0 0.1654265873015873, 4 0.1498015873015873, 6 0.12896825396825395, 1 0.11681547619047623, 5 0.1150793650793651, 3 0.11160714285714289",removes unnecessary class reference of static method calls which are declared in the same classcrlf -> lfjavadoc: fix typo but working is still awkward.
3306,3306,"2 0.2326462923477849, 6 0.15138592750533045, 0 0.14475242833451785, 1 0.12153518123667374, 3 0.12153518123667374, 4 0.12153518123667374, 5 0.10660980810234542","revert ""simplify, less clutter.""this reverts commit 18f5f54ca0e78df12586e0750e257058746a5a39.simplify, less clutter.[] removed unnecessary elses and use of ternary operator with primitive boolean consequences e.g. (some boolean expression) ? true : false"
3307,3307,"6 0.3218559218559218, 5 0.11843711843711843, 1 0.11330891330891331, 2 0.11330891330891331, 0 0.1115995115995116, 4 0.1115995115995116, 3 0.10989010989010989",make sure lines in files dont have trailing white spaces and remove all trailing white spacesadd sugar to randomiutils: new randumutils class. thanks to duncan jones
3308,3308,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",sort members.
3309,3309,"2 0.1642135642135642, 4 0.1541125541125541, 0 0.15209235209235208, 1 0.13593073593073596, 3 0.13391053391053395, 5 0.1298701298701299, 6 0.1298701298701299",[] add methodutil apis to call methods without parameters.
3310,3310,"0 0.16313932980599644, 2 0.15490887713109933, 4 0.15285126396237506, 1 0.13227513227513232, 3 0.13227513227513232, 5 0.13227513227513232, 6 0.13227513227513232",: new methods for lang3.validatethis from github.
3311,3311,"6 0.263952892985151, 2 0.14029697900665639, 3 0.12775217613927287, 1 0.12237583205325141, 0 0.1152073732718894, 4 0.1152073732718894, 5 0.1152073732718894",make checkstyle happy: add missing javadocreplace tabs with spaces fastdateparser and fastdateprinter support x format
3312,3312,"6 0.15659340659340654, 3 0.1459096459096459, 2 0.14377289377289373, 1 0.14163614163614163, 0 0.13736263736263735, 4 0.13736263736263735, 5 0.13736263736263735",add stringmatchertostring(); useful from a debugger.
3313,3313,"0 0.17136978248089355, 3 0.15079365079365076, 4 0.14462081128747795, 2 0.13639035861258086, 1 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",refactor range with lots of new methods
3314,3314,"6 0.20096371882086164, 3 0.14342403628117908, 5 0.1374716553287982, 4 0.13350340136054425, 2 0.12953514739229027, 0 0.1275510204081633, 1 0.1275510204081633"," partial: implement format u for fastdateformat, day number of week"
3315,3315,"5 0.28521825396825395, 6 0.12896825396825393, 2 0.12549603174603172, 4 0.1202876984126984, 1 0.11507936507936509, 0 0.11334325396825398, 3 0.11160714285714286",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. checkstyle and trailing spaces.
3316,3316,"4 0.7238259725306356, 2 0.05543219014721604, 0 0.05370507443046301, 5 0.048523727280203946, 3 0.041039559174274196, 1 0.04046385393535653, 6 0.03700962250185048","sort members.: add stringutilsisanynotempty and isanynotblank (): bring static method references in stringutils to consistent style. thanks to alex yurshaapplying alexander muthmanns patch from , adding isblank/isempty charsequence... variantschange stringutils arguments from string to charsequence.details: working with (trunk) stringutils (su) i see the following emerge: - in svn already and continuing: change stringutils arguments from string to charsequence (cs).- this leads to replacing calls to string.substring(int[,int]) with calls to charsequence.subsequence(int)- this leads to creating a charsequenceutils class (in svn now, more on this new class below) and charsequenceutils.subsequence(charsequence,int) to avoid changing ""str.substring(start)"" over and over to ""str.subsequence(start, str.length())"". for examples, see new versions of capitalize and uncapitalize.- we end up using a tostring() on charsequence to return a string from stringutil when working with a charsequence.so we have stringutils using charsequence inputs as much as possible instead of string, which is nice. the charsequence method subsequence returns a charsequence; though the javadoc states ""returns a new charsequence that is a subsequence of this sequence."", this does not guaranteed the return value to be the same kind of charsequence as the receiver). since we are after all in a class called stringutil, calling tostring() is a must.i propose that we create when possible the methods that are now stringutils charsequence methods into charsequenceutils and let stringutil call charsequenceutils and then do its tostring() and other string specific logic. later we could have other charsequence type of utils (for charbuffer, stringbuiler, stringbuffer, etc) that use the primitives from charsequenceutils.this means that for methods that are based solely on methods that are now in charsequence, these can be moved to charsequenceutils without effort (all is* methods only call charsequencelength() and charat() for example and are now typed as cs, still in su). we can leave @deprecateds method in su as a nicety to avoid too much porting pain: first change the package to lang3 then you can optimize by changing call sites from su to csu.as a start, i put in svn a charsequenceutils (csu) implementation for length() and subsequence()."
3317,3317,"4 0.1786344167296548, 2 0.16805240614764425, 1 0.15041572184429325, 6 0.13630637440161247, 3 0.1327790375409423, 5 0.12043335852859666, 0 0.11337868480725627",sort methods.remove redundant type arguments.adding hennings github pull request with a triple implementation. 675
3318,3318,"3 0.34958427815570675, 6 0.2067271352985639, 5 0.09429327286470143, 2 0.09297052154195011, 4 0.08635676492819352, 0 0.0850340136054422, 1 0.0850340136054422","make sure lines in files dont have trailing white spaces and remove all trailing white spacesadd final modifier to local variables.: fastdateformat doesnt respect summer daylight in some localized stringsrefactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
3319,3319,"4 0.20586820586820587, 3 0.19913419913419914, 2 0.13684463684463682, 0 0.12506012506012507, 6 0.11664261664261666, 1 0.10822510822510825, 5 0.10822510822510825",reuseadd final modifier to local variables.eat own dog food: call stringutils.isempty().making it explicit that the else statement expects to jump to the next iteration of the loop
3320,3320,"5 0.28869047619047616, 6 0.12896825396825393, 1 0.12202380952380953, 2 0.1202876984126984, 4 0.11681547619047618, 0 0.11160714285714286, 3 0.11160714285714286",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. checkstyle and trailing spaces.
3321,3321,"5 0.2764550264550264, 6 0.12645502645502643, 1 0.1208994708994709, 0 0.11904761904761904, 2 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
3322,3322,"0 0.28553791887125224, 3 0.15220458553791888, 6 0.1435626102292769, 2 0.12134038800705467, 4 0.10529100529100528, 5 0.10158730158730157, 1 0.09047619047619047","use validateistrue to validate arguments: update java requirement from java 6 to 7use try with resources in serializationutils: serializationutils::deserialize has unnecessary code and a comment for that ()there is no real cce possible, even the javadoc say so. githubs blame showed the code and javadoc is written by two indiviual person in two different years, so that may be the cause.eliminate one unchecked warning; localise and document othersadd final modifier to local variables.[] use generics in serializationutilsadding nopmd tags for various empty catch blockscheckstyle and trailing spaces."
